CardTransactionID,CardholderEmployeeID,PostingDate,Merchant,MCC,Currency,BilledAmount,AuthorizationCode
CTX00000001,EMP19862,2026-03-25,UPS,4215,USD,38516.59,REF-2025-1
CTX00000002,EMP19862,2026-03-25,Hilton Hotels,7011,USD,32079.59,REF-2025-1
CTX00000003,EMP56898,2025-11-15,Marriott Hotels,7011,USD,12831.81,REF20242
CTX00000004,EMP41029,2026-01-05,United Airlines,4511,USD,83028.24,REF-2025-3
CTX00000005,EMP30866,2026-01-07,Hertz Car Rental,7512,USD,3030.6,REF-2024-4
CTX00000006,EMP30866,2026-01-07,Staples,5943,USD,26907.27,REF-2024-4
CTX00000007,EMP30866,2026-01-07,Ruth's Chris Steak House,5812,USD,48322.54,REF-2024-4
CTX00000008,EMP13101,2025-10-05,Uber,4121,USD,82071.58,REF-2024-5
CTX00000009,EMP94080,2025-10-31,UPS,4215,GBP,96692.22,REF-2023-6
CTX00000010,EMP33405,2025-08-09,Marriott Hotels,7011,GBP,97019.09,REF-2024-7
CTX00000011,EMP60488,2026-02-27,Delta Air Lines,4511,GBP,43695.75,REF-2024-8
CTX00000012,EMP97900,2026-03-04,American Airlines,4511,USD,45970.45,REF-2025-9
CTX00000013,EMP50538,2025-11-11,Lyft,4121,EUR,84816.73,REF-2025-10
CTX00000014,EMP97153,2026-03-21,Hilton Hotels,7011,EUR,499.8,810219
CTX00000015,EMP81819,2026-04-22,Hertz Car Rental,7512,USD,96120.73,REF-2025-11
CTX00000016,EMP67954,2026-02-04,Hyatt Hotels,7011,USD,65505.09,REF-2025-12
CTX00000017,EMP13201,2025-10-04,Office Depot,5943,USD,16480.91,REF-2023-13
CTX00000018,EMP13201,2025-10-04,Hertz Car Rental,7512,USD,15501.6,REF-2023-13
CTX00000019,EMP13201,2025-10-04,Starbucks,5814,USD,35329.78,REF-2023-13
CTX00000020,EMP23970,2025-08-25,FedEx,4215,EUR,40025.32,REF-2024-14
CTX00000021,EMP25906,2026-02-03,Delta Air Lines,4511,EUR,1404.58,239816
CTX00000022,EMP90301,2026-03-24,Staples,5943,GBP,62680.49,REF-2024-15
CTX00000023,EMP78327,2025-10-15,Uber,4121,EUR,45061.97,REF-2024-16
CTX00000024,EMP54020,2025-11-04,Starbucks,5814,USD,631.78,REF-2024-17
CTX00000025,EMP54020,2025-11-04,Hilton Hotels,7011,USD,6370.08,REF-2024-17
CTX00000026,EMP54020,2025-11-04,Hertz Car Rental,7512,USD,838.73,REF-2024-17
CTX00000027,EMP71069,2025-11-27,Office Depot,5943,EUR,41545.3,REF-2023-18
CTX00000028,EMP85456,2026-04-06,Ruth's Chris Steak House,5812,EUR,96126.59,REF-2024-19
CTX00000029,EMP73993,2026-03-17,Amazon Business,5999,USD,53868.23,REF-2024-20
CTX00000030,EMP31632,2026-05-19,UPS,4215,EUR,36092.07,REF-2023-21
CTX00000031,EMP27786,2025-06-24,Uber,4121,EUR,56482.76,202522
CTX00000032,EMP59692,2025-11-25,American Airlines,4511,USD,21244.86,REF-2024-23
CTX00000033,EMP39389,2026-03-14,United Airlines,4511,USD,2036.39,REF-2024
CTX00000034,EMP41266,2026-04-25,Marriott Hotels,7011,USD,83938.96,REF-2023-25
CTX00000035,EMP58351,2026-02-04,Marriott Hotels,7011,USD,94780.93,REF-2025-26
CTX00000036,EMP50888,2025-08-05,Starbucks,5814,GBP,96475.61,REF-2023-27
CTX00000037,EMP23356,2026-04-10,Marriott Hotels,7011,USD,19913.14,REF-2025-28
CTX00000038,EMP66148,2025-12-05,The Capital Grille,5812,USD,78285.27,REF-2025-29
CTX00000039,EMP52245,2026-02-04,Starbucks,5814,USD,6715.22,REF-2025-30
CTX00000040,EMP52245,2026-02-04,The Capital Grille,5812,USD,12180.95,REF-2025-30
CTX00000041,EMP52245,2026-02-04,United Airlines,4511,USD,45474.42,REF-2025-30
CTX00000042,EMP52245,2026-02-04,Amazon Business,5999,USD,3944.08,REF-2025-30
CTX00000043,EMP52245,2026-02-04,The Capital Grille,5812,USD,9172.01,REF-2025-30
CTX00000044,EMP54608,2025-12-09,Uber,4121,USD,48806.24,REF-2023-31
CTX00000045,EMP68743,2026-05-30,Amazon Business,5999,USD,7057.23,REF-2025-32
CTX00000046,EMP68743,2026-05-30,UPS,4215,USD,9748.79,REF-2025-32
CTX00000047,EMP68743,2026-05-30,FedEx,4215,USD,6416.85,REF-2025-32
CTX00000048,EMP68743,2026-05-30,Ruth's Chris Steak House,5812,USD,29242.72,REF-2025-32
CTX00000049,EMP68743,2026-05-30,Office Depot,5943,USD,23375.06,REF-2025-32
CTX00000050,EMP45509,2025-12-08,Marriott Hotels,7011,USD,55083.81,REF-2025-33
CTX00000051,EMP34267,2025-08-11,Amazon Business,5999,USD,19339.17,REF-2025-34
CTX00000052,EMP35443,2026-03-06,Uber,4121,USD,1025.56,REF-2024-35
CTX00000053,EMP35443,2026-03-06,Delta Air Lines,4511,USD,11981.45,REF-2024-35
CTX00000054,EMP35443,2026-03-06,Delta Air Lines,4511,USD,3482.35,REF-2024-35
CTX00000055,EMP35443,2026-03-06,UPS,4215,USD,55996.68,REF-2024-35
CTX00000056,EMP23446,2025-08-14,Amazon Business,5999,USD,69772.0,REF-2024-36
CTX00000057,EMP72616,2025-09-13,American Airlines,4511,USD,36257.63,REF-2024-37
CTX00000058,EMP72616,2025-09-13,Delta Air Lines,4511,USD,7845.2,REF-2024-37
CTX00000059,EMP59856,2026-04-23,Office Depot,5943,EUR,60671.13,REF202438
CTX00000060,EMP48175,2026-01-27,Lyft,4121,USD,367.3,REF-2023-39
CTX00000061,EMP91927,2025-07-17,UPS,4215,GBP,56845.02,REF-2025-40
CTX00000062,EMP91927,2025-07-17,Enterprise Rent-A-Car,7512,GBP,23426.85,REF-2025-40
CTX00000063,EMP91927,2025-07-17,Hilton Hotels,7011,GBP,5702.84,REF-2025-40
CTX00000064,EMP50319,2025-07-17,Staples,5943,GBP,61924.16,REF-2024-41
CTX00000065,EMP50319,2025-07-17,Marriott Hotels,7011,GBP,20756.29,REF-2024-41
CTX00000066,EMP45683,2026-06-04,Staples,5943,GBP,68898.93,REF-2024-42
CTX00000067,EMP89129,2026-01-18,Enterprise Rent-A-Car,7512,USD,59843.86,REF-2023-43
CTX00000068,EMP98117,2026-04-01,Hyatt Hotels,7011,USD,83612.27,REF-2025-44
CTX00000069,EMP86720,2026-01-23,American Airlines,4511,EUR,53661.42,REF-2024-45
CTX00000070,EMP53228,2025-08-03,Starbucks,5814,EUR,32173.72,REF-2024-46
CTX00000071,EMP43082,2025-07-26,FedEx,4215,USD,3766.04,REF-2025-47
CTX00000072,EMP64165,2026-03-15,Ruth's Chris Steak House,5812,USD,65800.27,REF-2023-48
CTX00000073,EMP16764,2026-04-27,Hilton Hotels,7011,USD,75668.67,REF-2025-49
CTX00000074,EMP25915,2026-06-03,Enterprise Rent-A-Car,7512,USD,43867.8,REF-2024-50
CTX00000075,EMP82384,2026-03-20,Marriott Hotels,7011,EUR,15921.98,REF-2025-51
CTX00000076,EMP75323,2026-05-08,Uber,4121,USD,94711.37,REF-2024-52
CTX00000077,EMP69871,2026-02-07,Hertz Car Rental,7512,GBP,83488.92,REF-2024-53
CTX00000078,EMP64387,2025-08-19,United Airlines,4511,USD,53939.69,REF-2025-54
CTX00000079,EMP29476,2026-05-14,Ruth's Chris Steak House,5812,EUR,58034.35,REF-2025-55
CTX00000080,EMP69682,2026-03-16,Enterprise Rent-A-Car,7512,USD,55236.55,REF-2024-56
CTX00000081,EMP71993,2026-01-07,Hilton Hotels,7011,EUR,14809.51,REF-2025-57
CTX00000082,EMP71993,2026-01-07,Amazon Business,5999,EUR,23549.28,REF-2025-57
CTX00000083,EMP23154,2026-04-09,Staples,5943,EUR,12712.0,REF-2023-58
CTX00000084,EMP71537,2026-01-06,The Capital Grille,5812,USD,24468.54,REF-2023-59
CTX00000085,EMP71537,2026-01-06,UPS,4215,USD,25594.7,REF-2023-59
CTX00000086,EMP71537,2026-01-06,Starbucks,5814,USD,22208.9,REF-2023-59
CTX00000087,EMP14705,2026-02-15,Lyft,4121,GBP,62717.24,REF-2024-60
CTX00000088,EMP93066,2026-01-19,Lyft,4121,USD,74701.96,REF-2023-61
CTX00000089,EMP56984,2025-07-09,Enterprise Rent-A-Car,7512,USD,4694.5,REF-2023-62
CTX00000090,EMP32946,2026-05-26,Amazon Business,5999,USD,15785.3,REF-2025-63
CTX00000091,EMP32946,2026-05-26,Hilton Hotels,7011,USD,9364.75,REF-2025-63
